Neighborhood,Neighborhood_number,"Population, 2016",Population Change 2011-2016,Working Age (25-54 years),Latitude,Longitude
Agincourt North ,129,29113,-3.9,11305,43.80604316043266,-79.25942778869258
Agincourt South-Malvern West ,128,23757,8.0,9965,43.7898036539727,-79.26516479537746
Alderwood ,20,12054,1.3,5220,43.6069478794947,-79.54476773766149
Annex ,95,30526,4.6,15040,43.67336541385619,-79.40246759397529
Banbury-Don Mills ,42,27695,2.9,10810,43.73861741071634,-79.34863581580899
Bathurst Manor ,34,15873,2.8,6655,43.7715835609694,-79.45539118998494
Bay Street Corridor ,76,25797,33.3,13065,43.66022951958655,-79.38901479982854
Bayview Village ,52,21396,21.1,10310,43.77330270501555,-79.37301756514371
Bayview Woods-Steeles ,49,13154,-2.8,4490,43.798084308974914,-79.37968028817096
Bedford Park-Nortown ,39,23236,0.2,8410,43.73908910297025,-79.41655595798473
Beechborough-Greenbrook ,112,6577,1.4,2750,43.6929584517305,-79.4722918877902
Bendale ,127,29960,7.5,12050,43.75587523966815,-79.25206759902852
Birchcliffe-Cliffside ,122,22291,2.0,9075,43.68876061421545,-79.26283528977787
Black Creek ,24,21737,-1.5,8525,43.76590723719551,-79.51401125890087
Blake-Jones ,69,7727,-0.5,3605,43.67329216993508,-79.33779832117241
Briar Hill-Belgravia ,108,14257,-0.3,6740,43.69592765477582,-79.45747401424674
Bridle Path-Sunnybrook-York Mills ,41,9266,6.3,3090,43.73298873939063,-79.3709424745729
Broadview North ,57,11499,-0.6,5680,43.68928460562667,-79.3566229261287
Brookhaven-Amesbury ,30,17757,-0.2,7625,43.703021797655076,-79.4857749012593
Cabbagetown-South St.James Town ,71,11669,-3.2,5855,43.66968614921851,-79.36508481804394
Caledonia-Fairbank ,109,9955,1.1,4570,43.68820587451573,-79.4590952320288
Casa Loma ,96,10968,4.6,4555,43.68055486291319,-79.40601075574219
Centennial Scarborough ,133,13362,2.1,5030,43.77633833207561,-79.1482924711272
Church-Yonge Corridor ,75,31340,10.6,18780,43.65903255161806,-79.3791364971961
Clairlea-Birchmount ,120,26984,8.9,11940,43.70749350014438,-79.28124020820454
Clanton Park ,33,16472,12.7,7470,43.73879140216762,-79.44624947688399
Cliffcrest ,123,15935,1.5,6070,43.71049804712429,-79.23128925756201
Corso Italia-Davenport ,92,14133,2.8,6930,43.675648587878136,-79.45081295893648
Danforth ,66,9666,2.4,4370,43.68352121541558,-79.33072342364169
Danforth East York ,59,17180,2.8,7930,43.68921514891051,-79.33109135666835
Don Valley Village ,47,27051,1.2,11860,43.782201599407635,-79.35426219686782
Dorset Park ,126,25003,2.6,10485,43.76231650340622,-79.28057836219516
Dovercourt-Wallace Emerson-Junction ,93,36625,5.8,19790,43.66648818092098,-79.44196719788808
Downsview-Roding-CFB ,26,35052,1.1,15045,43.73320448698894,-79.49494197611884
Dufferin Grove ,83,11785,2.9,6680,43.655349168462756,-79.43728428110258
East End-Danforth ,62,21381,2.6,9990,43.68341895546537,-79.29943969125505
Edenbridge-Humber Valley ,9,15535,4.0,5940,43.666747600558104,-79.51683266330414
Eglinton East ,138,22776,-0.2,9180,43.74303004213847,-79.24567683042171
Elms-Old Rexdale ,5,9456,-1.0,3700,43.7234166213205,-79.54703347098148
Englemount-Lawrence ,32,22372,1.3,8385,43.72365519694611,-79.44050741128802
Eringate-Centennial-West Deane ,11,18588,-1.2,6910,43.65920164871945,-79.58253066479463
Etobicoke West Mall ,13,11848,8.4,5025,43.643009638359935,-79.56886403959864
Flemingdon Park ,44,21933,-1.1,9185,43.71663560282856,-79.33492666763476
Forest Hill North ,102,12806,2.7,5390,43.70360612455265,-79.42724357851476
Forest Hill South ,101,10732,-1.8,4235,43.694285316631635,-79.4128887123927
Glenfield-Jane Heights ,25,30491,-2.9,11590,43.74559047497355,-79.5052017011787
Greenwood-Coxwell ,65,14417,2.4,7240,43.67081922609801,-79.32382568663644
Guildwood ,140,9917,1.0,3370,43.748212876475016,-79.19165925464456
Henry Farm ,53,15723,38.7,8045,43.77064766514719,-79.34369412881688
High Park North ,88,22162,4.1,11660,43.658483727338464,-79.4675300638368
High Park-Swansea ,87,23925,10.1,11570,43.64115567609097,-79.46810251744718
Highland Creek ,134,12494,-4.6,4620,43.79146398890391,-79.17273126582704
Hillcrest Village ,48,16934,-4.1,6060,43.801618515712555,-79.35947366204765
Humber Heights-Westmount ,8,10948,3.4,3790,43.69256711432139,-79.51868180039347
Humber Summit ,21,12416,-0.9,4855,43.75665536780315,-79.57017814321847
Humbermede ,22,15545,-1.9,6445,43.74147190786235,-79.55192393986513
Humewood-Cedarvale ,106,14365,1.8,7005,43.69025985471988,-79.4281177117377
