Neighborhood,Neighborrhood_number,Neighborhood_lat,Neighborhood_long,Venue,Category,Venue_lat,Venue_long
Casa Loma ,96,43.68055486291319,-79.40601075574219,Flor de Sal,Modern European Restaurant,43.67775739485431,-79.40717634503991
Annex ,95,43.67336541385619,-79.40246759397529,Playa Cabana,Mexican Restaurant,43.67611179256714,-79.4012790354265
Annex ,95,43.67336541385619,-79.40246759397529,Mistura,Italian Restaurant,43.67428461619599,-79.398425962694
Annex ,95,43.67336541385619,-79.40246759397529,L'Unita Restaurant,Italian Restaurant,43.674387404879205,-79.39648826123504
Annex ,95,43.67336541385619,-79.40246759397529,Le Paradis,French Restaurant,43.67500732033419,-79.40003625111297
Annex ,95,43.67336541385619,-79.40246759397529,Roti Cuisine of India,Indian Restaurant,43.67461834990478,-79.40824866273744
Annex ,95,43.67336541385619,-79.40246759397529,Fet Zun,Middle Eastern Restaurant,43.675147,-79.406346
Annex ,95,43.67336541385619,-79.40246759397529,Bua Thai,Thai Restaurant,43.674808774790584,-79.39667636157816
Annex ,95,43.67336541385619,-79.40246759397529,Annex Grill and Bar,Asian Restaurant,43.67491340106575,-79.40670910550232
Woodbine Corridor ,64,43.67581292233435,-79.31496884334845,Occasions Restaurant,Restaurant,43.67320785674965,-79.31861239046192
Woodbine Corridor ,64,43.67581292233435,-79.31496884334845,The Pantry,Restaurant,43.67274,-79.319281
Henry Farm ,53,43.77064766514719,-79.34369412881688,Tekka Sushi,Japanese Restaurant,43.77417136429855,-79.3404009228877
Henry Farm ,53,43.77064766514719,-79.34369412881688,Shawarma and Kebob,Middle Eastern Restaurant,43.76698965408248,-79.34699846901431
Steeles ,116,43.814135797424875,-79.32175162819078,D&R Wings 美華茶餐廳,Chinese Restaurant,43.814697995513114,-79.32394552167905
Steeles ,116,43.814135797424875,-79.32175162819078,Pho 88,Vietnamese Restaurant,43.81475710309658,-79.32388108904165
Steeles ,116,43.814135797424875,-79.32175162819078,Crown Jewel Fine Dining 御膳豪庭,Chinese Restaurant,43.813114,-79.322914
Steeles ,116,43.814135797424875,-79.32175162819078,Ookinza Fish House,Sushi Restaurant,43.815947,-79.322822
Steeles ,116,43.814135797424875,-79.32175162819078,Jeon Ju Hyang Restaurant,Korean Restaurant,43.814709417425554,-79.32376987233347
Steeles ,116,43.814135797424875,-79.32175162819078,McDonald's,Fast Food Restaurant,43.81594280857332,-79.32309699092042
Dufferin Grove ,83,43.655349168462756,-79.43728428110258,Pho Linh,Vietnamese Restaurant,43.65228962903497,-79.43406146756601
Dufferin Grove ,83,43.655349168462756,-79.43728428110258,Tavoos Restaurant,Middle Eastern Restaurant,43.65250122477732,-79.43305406736384
Dufferin Grove ,83,43.655349168462756,-79.43728428110258,Thai Express,Restaurant,43.656224,-79.435577
Dufferin Grove ,83,43.655349168462756,-79.43728428110258,Taco Bell,Restaurant,43.65798774461666,-79.43489238105826
