Neighborhood,Neighborhood_lat,Neighborhood_long,Venue,Category,Venue_lat,Venue_long
Parkwoods,43.7532586,-79.3296565,Brookbanks Park,Park,43.751976046055574,-79.33214044722958
Parkwoods,43.7532586,-79.3296565,Sun Life,Construction & Landscaping,43.75476,-79.332783
Parkwoods,43.7532586,-79.3296565,Variety Store,Food & Drink Shop,43.75197441585782,-79.33311418516017
Victoria Village,43.7258823,-79.3155716,Victoria Village Arena,Hockey Arena,43.72348055545508,-79.31563520925143
Victoria Village,43.7258823,-79.3155716,Portugril,Portuguese Restaurant,43.72581876267242,-79.31278541470671
Victoria Village,43.7258823,-79.3155716,Tim Hortons,Coffee Shop,43.725516631714754,-79.31310251366091
Victoria Village,43.7258823,-79.3155716,The Frig,French Restaurant,43.72705130603407,-79.31741760908679
Victoria Village,43.7258823,-79.3155716,Eglinton Ave E & Sloane Ave/Bermondsey Rd,Intersection,43.726086,-79.31362
Victoria Village,43.7258823,-79.3155716,Pizza Nova,Pizza Place,43.725823726352196,-79.31286041792907
"Regent Park, Harbourfront",43.6542599,-79.3606359,Roselle Desserts,Bakery,43.653446723052674,-79.3620167174383
"Regent Park, Harbourfront",43.6542599,-79.3606359,Tandem Coffee,Coffee Shop,43.65355870959944,-79.36180945913513
"Regent Park, Harbourfront",43.6542599,-79.3606359,Cooper Koo Family YMCA,Distribution Center,43.65324910177244,-79.35800826343677
"Regent Park, Harbourfront",43.6542599,-79.3606359,Body Blitz Spa East,Spa,43.65473505045365,-79.35987433132891
"Regent Park, Harbourfront",43.6542599,-79.3606359,Impact Kitchen,Restaurant,43.65636850543279,-79.35697968750694
"Regent Park, Harbourfront",43.6542599,-79.3606359,Corktown Common,Park,43.655617799749734,-79.3562113397429
"Regent Park, Harbourfront",43.6542599,-79.3606359,Morning Glory Cafe,Breakfast Spot,43.653946942635294,-79.36114884214422
"Regent Park, Harbourfront",43.6542599,-79.3606359,The Extension Room,Gym / Fitness Center,43.65331304337331,-79.35972538072777
"Regent Park, Harbourfront",43.6542599,-79.3606359,The Distillery Historic District,Historic Site,43.65024435658077,-79.35932278633118
"Regent Park, Harbourfront",43.6542599,-79.3606359,SOMA chocolatemaker,Chocolate Shop,43.65062222570758,-79.35812684032683
"Regent Park, Harbourfront",43.6542599,-79.3606359,Distillery Sunday Market,Farmers Market,43.650074989330655,-79.36183171318665
"Regent Park, Harbourfront",43.6542599,-79.3606359,Figs Breakfast & Lunch,Breakfast Spot,43.65567455427388,-79.3645032892494
"Regent Park, Harbourfront",43.6542599,-79.3606359,Brick Street Bakery,Bakery,43.650574039683974,-79.35953942981405
"Regent Park, Harbourfront",43.6542599,-79.3606359,Arvo,Coffee Shop,43.64996280366945,-79.36144178325522
"Regent Park, Harbourfront",43.6542599,-79.3606359,Sumach Espresso,Coffee Shop,43.65813540553308,-79.35951549011845
"Regent Park, Harbourfront",43.6542599,-79.3606359,Rooster Coffee,Coffee Shop,43.65189965670432,-79.36560912104514
"Regent Park, Harbourfront",43.6542599,-79.3606359,Dominion Pub and Kitchen,Pub,43.65691857501867,-79.35896684476664
"Regent Park, Harbourfront",43.6542599,-79.3606359,Underpass Park,Park,43.65576361726024,-79.3548059463501
"Regent Park, Harbourfront",43.6542599,-79.3606359,Dark Horse Espresso Bar,Coffee Shop,43.653080578844275,-79.3570778621122
"Regent Park, Harbourfront",43.6542599,-79.3606359,Young Centre for the Performing Arts,Performing Arts Venue,43.65082466432163,-79.35759324240415
"Regent Park, Harbourfront",43.6542599,-79.3606359,Starbucks,Coffee Shop,43.651613,-79.364917
"Regent Park, Harbourfront",43.6542599,-79.3606359,Souvlaki Express,Greek Restaurant,43.65558391537734,-79.36443816909016
"Regent Park, Harbourfront",43.6542599,-79.3606359,Cluny Bistro & Boulangerie,French Restaurant,43.650565116074695,-79.35784287026658
"Regent Park, Harbourfront",43.6542599,-79.3606359,Parliament Square Park,Park,43.65026388338689,-79.36219509081177
"Regent Park, Harbourfront",43.6542599,-79.3606359,ODIN Cafe + Bar,Café,43.656738544928054,-79.35650305267754
"Regent Park, Harbourfront",43.6542599,-79.3606359,Cacao 70,Dessert Shop,43.650066694561666,-79.36072263183006
"Regent Park, Harbourfront",43.6542599,-79.3606359,The Yoga Lounge,Yoga Studio,43.65551522261721,-79.36495542526245
"Regent Park, Harbourfront",43.6542599,-79.3606359,Caffe Furbo,Café,43.649969882303814,-79.35884946388191
"Regent Park, Harbourfront",43.6542599,-79.3606359,Alumnae Theatre,Theater,43.65275554626444,-79.36475283805089
"Regent Park, Harbourfront",43.6542599,-79.3606359,Soulpepper Theatre,Theater,43.65078003430492,-79.35761534068922
"Regent Park, Harbourfront",43.6542599,-79.3606359,Berkeley Church,Event Space,43.65512324174501,-79.36587330410705
"Regent Park, Harbourfront",43.6542599,-79.3606359,John Fluevog Shoes,Shoe Store,43.64989585773889,-79.3594359503061
"Regent Park, Harbourfront",43.6542599,-79.3606359,Izumi,Asian Restaurant,43.6499697935016,-79.36015326451906
"Regent Park, Harbourfront",43.6542599,-79.3606359,The Sweet Escape Patisserie,Bakery,43.65063217302609,-79.35870913127346
"Regent Park, Harbourfront",43.6542599,-79.3606359,Ontario Spring Water Sake Company,Brewery,43.649921646081026,-79.36007302731126
"Regent Park, Harbourfront",43.6542599,-79.3606359,The Aviary,Pub,43.65363394725125,-79.35466212072043
"Regent Park, Harbourfront",43.6542599,-79.3606359,Arta Gallery,Art Gallery,43.650022181882065,-79.36122168476822
"Regent Park, Harbourfront",43.6542599,-79.3606359,The Abnormal Beauty Company,Cosmetics Shop,43.649892147380996,-79.3610051085219
"Regent Park, Harbourfront",43.6542599,-79.3606359,Vistek,Electronics Store,43.65704640025721,-79.35966695607046
"Regent Park, Harbourfront",43.6542599,-79.3606359,TD Canada Trust,Bank,43.652779762702764,-79.3563362625656
